variable,chi2,p_value,degrees_of_freedom,n_categories
ethnicity.demographic,5.98211091234347,0.05023438853808321,2,3
figo_stage.diagnoses,17.097800925925924,0.19487167322709661,13,14
year_of_diagnosis.diagnoses,12.693889270451772,0.24129390592658426,10,11
race.demographic,1.0305660774410774,0.7938564281541889,3,4
morphology.diagnoses,0.23670033670033672,0.8883849138627231,2,3
primary_diagnosis.diagnoses,0.23670033670033674,0.8883849138627231,2,3
vital_status.demographic,0.0,1.0,1,2
