k,inercia,silhouette
2,63748.49755508914,0.19922461843167147
3,56936.01773576453,0.19430124410792685
4,51615.280407866914,0.15027280183979413
5,47783.822983537924,0.16062001517363816
6,44734.972983513086,0.14855965460411252
7,41664.055983081176,0.14156960662339269
8,39711.98770519976,0.14835751538071607
