componente,varianza_explicada,varianza_acumulada
1,0.18698801468087314,0.18698801468087314
2,0.080465198118942,0.26745321279981515
3,0.06687244457496412,0.33432565737477926
4,0.052752257538115396,0.38707791491289467
5,0.04659301558212861,0.43367093049502325
6,0.03259249042192196,0.4662634209169452
7,0.028111335325425573,0.4943747562423708
8,0.026789090784590526,0.5211638470269614
9,0.024848748306384543,0.5460125953333459
10,0.022281391847245077,0.568293987180591
11,0.02015044822416757,0.5884444354047585
12,0.01878434078083622,0.6072287761855948
13,0.01765757423519262,0.6248863504207874
14,0.016857861689568217,0.6417442121103557
15,0.016273750699225802,0.6580179628095815
16,0.015225793551436686,0.6732437563610182
17,0.015051516676966673,0.6882952730379849
18,0.014091464035179378,0.7023867370731642
19,0.012915133321866957,0.7153018703950312
20,0.012155804939732591,0.7274576753347638
21,0.011858653103213856,0.7393163284379777
22,0.011771998233617822,0.7510883266715955
23,0.011135281161968274,0.7622236078335638
24,0.011002020342945555,0.7732256281765093
25,0.010558384901510306,0.7837840130780196
26,0.010148971065054656,0.7939329841430742
27,0.009759417900995269,0.8036924020440694
28,0.009313411269153632,0.8130058133132231
29,0.009161478177423084,0.8221672914906462
30,0.00900001693997864,0.8311673084306248
31,0.008735516922394026,0.8399028253530189
32,0.008670903192298034,0.8485737285453169
33,0.008446259147816477,0.8570199876931334
34,0.008119717952256553,0.8651397056453899
35,0.007935912686338613,0.8730756183317285
36,0.0077103915494638,0.8807860098811924
37,0.007524497209724256,0.8883105070909166
38,0.007392757891416394,0.895703264982333
39,0.007153523677540548,0.9028567886598735
40,0.007048021714603608,0.9099048103744771
41,0.006934938112731485,0.9168397484872086
42,0.006715011375692701,0.9235547598629014
43,0.006465233952202443,0.9300199938151038
44,0.006299177006069309,0.9363191708211731
45,0.006192373957660864,0.9425115447788339
46,0.005978511831597116,0.9484900566104311
47,0.005889012647629391,0.9543790692580605
48,0.0057202214854793825,0.9600992907435398
49,0.005501207354089362,0.9656004980976292
50,0.005299067319994421,0.9708995654176236
51,0.005276658174299641,0.9761762235919232
52,0.005178858117829568,0.9813550817097528
53,0.004949198893900444,0.9863042806036533
54,0.004790264129902648,0.991094544733556
55,0.004614900028956205,0.9957094447625122
56,0.00429055523748797,1.0000000000000002
57,3.6876883631568177e-32,1.0000000000000002
