,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
TCGA-NF-A4X2-01A,1.154486572532615,-22.139034053700033,-4.581484123875932,-17.603102692847564,-14.477584960493969,4.656689812458561,-6.044541430021922,-1.721194765793714,7.961960228354343,3.7026529479597614,-8.503054257733492,-3.9437620954977777,-1.4992706241363465,10.173840664902398,1.986535106765449,4.883447508870527,-2.426000575455416,-0.49449750352891675
TCGA-N5-A4RA-01A,34.97333548958116,-3.1632457393379614,8.975333014785988,1.4677827001190369,7.575166007638234,-4.685415012876986,2.111621527765213,1.4784440830020122,-5.0304253787673545,4.942351455692595,3.6783075813756994,-1.7235654131876308,-1.774366116620201,-7.059500730520008,-3.2569500325550336,-4.527868013196083,1.1599299260972176,2.6173406281495564
TCGA-NG-A4VU-01A,39.03929164167175,-10.201123328391086,8.96073869981788,-8.000598754562638,17.316017464728105,9.983915574911467,-8.225443410280945,-1.265198515338361,2.681917522506014,5.7346626671158925,-6.0364005215043814,3.311404686192837,-3.102155711333217,-1.147016376639355,-5.295729081621004,2.416215941780259,6.055744559864906,0.6278705531752862
TCGA-N5-A4RS-01A,-12.030905308639728,5.129784237613562,-13.21839908560611,16.878634248200463,10.677483746247285,-7.391096946396267,-4.675012053263796,1.827604363029604,-11.29520415506641,-0.6036992639679087,5.528254239934256,-6.787313264317668,-2.2673245593917213,0.6346725410009249,5.932178073946109,6.027129685880509,-2.118248560309976,1.9027220787593784
TCGA-NA-A5I1-01A,-1.2604703366250258,23.281810312277575,-7.205591133941624,0.4900912559950426,-6.069918798367931,5.210385971371462,4.212576692379979,-8.794450458744834,1.939372458994849,11.328546792792993,-5.8997518980252375,0.7875848293074934,-0.1395985825883137,-1.9394614678245352,8.451372035231973,-4.097339801125428,-2.430879558951313,-0.8112054714403212
TCGA-N8-A4PL-01A,-5.406842861498232,3.2944018572951124,-16.490206044880917,11.352192630108341,-0.21355096317561786,1.2859324604222757,-11.13807580658391,2.892064245526562,2.0484193665332047,-5.776407561057214,4.25223703388912,6.119897457687262,-0.3792748335104921,-3.0515681084416366,-2.4942710842094713,1.5802268505741104,-1.7117879610248286,7.112810852615582
TCGA-ND-A4W6-01A,5.632397501998543,0.13928704807860995,24.79467345768087,4.759527854622503,-11.907508722733203,-5.07527870879203,-2.1695274914145886,0.5710490904728246,-4.511152598786567,0.5410603435443816,2.6826271718098322,2.1182944961206487,9.5163671547678,-3.5625447676177178,-2.8753440659962037,-4.3214766903909085,-0.8149540222423554,7.976077422685999
TCGA-NG-A4VW-01A,-26.426693865618947,3.7152740384383947,-0.5237973736015145,-18.622303675284066,19.69569002763477,1.9705011249277087,3.497334328951871,-8.924752064716417,3.854178242139375,-11.68745360128562,-7.337741021292619,11.235038023229203,3.2667918617961345,-0.21106219319463707,4.308245052063346,-0.8124111680806566,-5.72736887229114,-2.236505434967924
TCGA-ND-A4WF-01A,22.00016872474141,3.740975144182884,1.0861195912063193,-1.1691311366570394,-14.310810348006138,-15.547257994154721,1.4790123774205923,3.855697120060716,0.9569342414612224,-9.136360436677567,-4.846237794654201,7.716697298943399,2.4565014655901227,-6.706703108548779,0.9549618497125887,-0.22931064504385995,-0.25210791240556185,4.340042845564047
TCGA-NA-A4QW-01A,42.7606615545953,6.264992063075522,11.943499443523953,-2.2257632033888486,9.192972957807184,-1.8580075314776308,-4.619292489990696,-0.9465349465272408,2.113131307342923,0.28222385852049053,3.956504714052771,1.9863688566974977,-4.243245750035639,1.0849123719185896,2.295184170948618,-0.5226959568695366,0.39568274683361865,-1.6040530900519485
TCGA-N8-A56S-01A,4.083887259130503,19.84918199617502,-2.333181131590939,10.72805884680683,4.099141856428102,11.519349651812401,3.3422637778039923,0.4157608269270825,-1.1771687736885903,0.37851103187233437,4.07025642514339,1.8379872895264817,-5.490449918953364,1.1559739374490665,7.100717062815789,-1.0778336961494395,0.39771131327541365,-3.445440239049541
TCGA-N6-A4VD-01A,-24.821307518177044,4.083175989390019,11.121619064436741,-10.335637782007497,15.600226496087977,-8.22660868058615,11.39644453530232,4.7621075292654185,5.640426367848392,-4.766102399061833,-6.21303617611092,0.8564420217826897,8.769927595793613,-3.6944641901478574,7.104686450354183,-0.5141635016460819,23.255268984004793,-2.9596261761288423
TCGA-NA-A4R1-01A,3.0638609901218583,-19.055101009108053,-19.43722403567341,-0.5127408692529654,-0.7025581067909804,-3.950064803510992,6.004759161616572,-10.16637930082075,20.048689286430978,-3.280893119745136,22.61814070415753,0.8484125509994799,9.81397133993251,-15.472363745022667,-5.327333765897072,8.193594675670205,0.20557878828249132,-4.232987811384774
TCGA-N5-A4RT-01A,0.13354979733043515,9.26688117627624,-16.03772580274308,-6.784365632467449,-3.689467657633542,-11.034131868787306,14.351166236500895,5.680519809671244,9.167315991508202,2.425908137959102,1.914230538911085,3.0687945679319886,-4.840535002613357,12.22315378099097,-0.5361757922895416,-3.6345195124291956,-6.650239321178084,4.032452287745668
TCGA-NF-A4WX-01A,-6.092070972766245,10.469484015638022,-12.194547446169365,10.402948065684447,2.458708151307596,17.71020876837811,0.4403801091787869,-6.642024286518089,2.982627651557508,0.9052564448679039,-5.930046902350518,3.7917343469407228,-0.7501172260708391,-5.093179062193874,-0.897274153066414,0.12202220926503902,0.13136423618054355,-1.6484925765323701
TCGA-N8-A4PM-01A,-15.18219056931678,-0.4867611053848786,-2.2641894752593736,0.7506559578804199,4.461723980985876,13.198726412621431,9.378248094304546,5.790371074319962,-10.85046458040072,-5.958043414381297,2.92406684318471,-2.5708563485338507,0.4482758619078975,-0.8435165045714469,6.8084245239163375,0.7112079975702368,-7.426436397840413,-3.0335329772118342
TCGA-NA-A4QX-01A,31.82465455284174,7.875017174763165,6.128081608678279,-5.340451281366472,9.074231223038982,3.593144719335812,-4.0649154652196815,8.011206842511767,-2.5210641283871573,-2.1296727556614594,4.800889225401264,-0.7949264908900245,1.086559794207792,-1.7918609099992544,1.0541645394610548,2.022893954546789,3.0469010836197743,-0.25639389012453784
TCGA-NA-A4QV-01A,-3.8734398868670645,18.449681879053106,-5.459635830911843,-9.856088100898958,-14.256874126264556,-0.7091101204146885,-1.4541903907059421,-9.915415619094741,-2.8302181676791425,0.3508727725047054,3.247194787696496,-3.0357999542794745,-3.6449738613598868,-2.737657984631539,-1.6715213296291611,-7.244563322346967,10.151682336801004,-1.870339094309452
TCGA-N6-A4VE-01A,-14.445444125497191,17.797669429343433,-1.9572754289222158,-6.035863924215308,-2.6249111728436683,-2.7635715982758815,5.794704576347455,-4.140746656075895,-0.1323492904616005,18.021825428108613,-6.58383623489123,-3.96621893264312,-1.032114256187912,-5.335672310464704,5.155107681347373,-3.52909393777505,-5.910768883523143,-6.986706319563704
TCGA-N9-A4Q3-01A,-10.556521926852062,3.999655831232514,4.238804122197582,22.90404255134433,-5.277255214370507,-11.066386672447422,-6.294592969968913,-6.488627307845049,0.08930444653975259,-0.3778622472024502,-2.8518981201102775,-4.913660566772236,4.927955942340447,6.762058870122318,-3.661904684119977,0.13588433075023232,1.229477143758404,4.176235063739033
TCGA-N5-A4RO-01A,15.699294800197363,-1.7576639558186542,-17.243438878576345,4.922813052164238,0.40711949956779947,-11.017104600222298,7.299749097908887,6.614291171022002,14.181970798373102,-6.9631642612760185,-5.6158160079299035,3.785864305577527,-2.801925178491235,11.889736012081817,-7.5764480818258,-2.5035319075768006,-1.1590969232245325,-7.061100541733905
TCGA-N5-A4RU-01A,-3.0900756610424915,3.795810404525427,-8.262553943143336,-7.029364672566114,-11.134945110123567,4.396588788754953,-16.911347475303547,8.96280622139541,-5.802830312259429,-12.081436320476225,-1.8747646743083368,11.604744550700339,-4.57383809585248,1.856624208076894,2.063439738449401,-6.375150110455964,1.9175488817481505,-4.907623441133971
TCGA-N5-A4RF-01A,-7.659129733379267,-6.925660908174937,-2.132932868011014,-3.653902841998253,-7.526268409078552,6.528752007452086,-1.1973299596544695,17.082040638835824,-4.769065353844377,7.27645199075473,-8.32659604569157,-4.3755239530511805,10.994566754872732,-0.6147165678506624,-9.083680381975126,-0.6215728407585666,-9.939358770792545,-3.194841989107677
TCGA-ND-A4WC-01A,-26.3655232432581,-4.966561791750219,20.89810563876584,13.706155208550811,0.5404811385195357,2.264767697308734,0.2737879036126388,19.16804628382372,8.227548857014549,2.4434617485774113,4.850166635067725,-1.1538630808936623,-6.364362825992214,-7.858334531639143,0.9793357600695043,4.773134738485284,-5.2393393460914615,-11.802812602596848
TCGA-ND-A4WA-01A,-5.0586834563949665,5.47474076127032,-7.547233958098679,11.215703039430563,-2.5097942035485556,1.974389930554667,-5.459509040480592,-16.894801331149296,6.171206915214012,1.3290537552158421,-9.391702439028458,-17.232598217493447,0.46621185889319366,-7.4946049618934945,-1.9864254978807838,-8.16956275359057,4.879997724959157,8.13730578273908
