folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,combus,eli_basura,tenencia,estim_pago,escrituras,tot_resid,tot_hom,tot_muj,est_socio,ing_tri,ing_tri_pc
1906162303,7,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,2,1, ,,4,2,2,2,70508.11,17627.0275
1906162304,1,8,10,3,1,2,2,9,1,1,1,1,2,1,2,0,0,1,1,4,2,4,7000,1,3,1,2,2,74788.02,24929.34
1906162305,7,8,10,3,1,1,2,4,1,1,1,1,2,1,1,0,0,1,1,4,2,3,3500,1,4,3,1,2,59346.17,14836.5425
1906162306,7,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,2,3,4000,3,4,2,2,2,77478.21,19369.5525
1906163301,1,8,10,3,1,2,3,6,1,1,1,1,2,1,2,1,0,1,1,4,1,3,8000,1,4,3,1,4,235760.83,58940.2075
1906163302,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,8000,1,4,1,3,4,30913.03,7728.2575
1906163304,1,8,10,3,1,2,2,4,1,1,1,1,2,1,2,1,0,1,1,4,1,3,9000,1,3,2,1,4,73369.56,24456.52
1906164701,1,8,10,3,1,2,3,6,1,1,1,1,2,1,1,1,0,1,1,4,1,3,5000,2,4,1,3,3,256131.13,64032.7825
1906164702,7,8,10,3,1,2,2,5,1,1,1,1,2,1,1,0,0,1,1,3,1,4,3500,2,5,3,2,3,95409.81,19081.962
1906164703,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,0,0,1,1,4,1,4,4000,1,3,2,1,3,39836.06,13278.68667
1906164704,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,2500,3,6,3,3,3,179090.11,29848.35167
